molecule_idx,n_basis,regularization,nmape,r2,mae
49794,3113,1e-10,0.2667231503392809,0.9999977933217724,0.0001953287576581
54427,3520,1e-10,0.2803945923728563,0.9999964429877988,0.0002138218068271
6986,3432,1e-10,0.2863249499454592,0.9999968354156504,0.0001786953569568
48961,3344,1e-10,0.2610643866036947,0.9999973261062196,0.0001725363663118
22721,2904,1e-10,0.2965855195248042,0.9999969091926704,0.0002222905003033
13759,2970,1e-10,0.2803627464186813,0.9999977172804224,0.0002135651052698
122281,2748,1e-10,0.225768279894427,0.9999985604262313,0.0003064577738564
6568,2882,1e-10,0.2545461105702875,0.9999983799477182,0.0001909559753775
103002,3377,1e-10,0.2875450382948532,0.9999968662307404,0.0002217998819198
70185,3036,1e-10,0.2531252460785266,0.999998240197636,0.0002494766745343
110066,3674,1e-10,0.2860828901678038,0.9999977701057868,0.0001614974585349
99860,3322,1e-10,0.2942419023046716,0.9999972713227192,0.0002132596528897
25260,3025,1e-10,0.2651397169231836,0.9999976960944492,0.0002507307567464
11797,2739,1e-10,0.2787525241204512,0.9999979432017964,0.000237077282406
2294,2728,1e-10,0.29137163613029,0.9999961788865508,0.0001907787789459
65039,3113,1e-10,0.2684193952674262,0.999997604630808,0.0002169597853374
98854,3146,1e-10,0.2707597907894929,0.9999976978657412,0.0002386725690213
40830,2937,1e-10,0.2594608180910595,0.9999978401642312,0.0001942054883281
75140,3080,1e-10,0.2721321138702962,0.9999973042590172,0.0001976451790953
61522,3113,1e-10,0.2730065884254317,0.9999970523217204,0.0002113294945309
42495,2849,1e-10,0.2614934326439633,0.9999980322103424,0.0001988790854271
75505,3498,1e-10,0.2370472539782523,0.9999980188429952,0.0002205728267047
99601,3058,1e-10,0.2927579654815427,0.9999973179420786,0.0002496227944049
3175,2904,1e-10,0.2711370896461262,0.9999968790203624,0.0001926512088055
343,2145,1e-10,0.2492035899516951,0.9999983604035648,0.000179792260338
118881,2882,1e-10,0.2441791796099618,0.999998309227909,0.0002016076960961
39311,2761,1e-10,0.2960463953056932,0.9999968346457414,0.0002305727880256
3012,2761,1e-10,0.2669810277214294,0.999997729713556,0.0001909076955372
2597,2178,1e-10,0.266574531523325,0.9999980723078834,0.0002478188071675
99307,3553,1e-10,0.2716249372801557,0.99999731124664,0.0002082876234491
16729,3058,1e-10,0.2498261187599215,0.9999980711139238,0.0002107401278746
6024,3080,1e-10,0.2711161245323229,0.9999971572815473,0.0001638569781025
72711,3432,1e-10,0.2701512599350157,0.9999967410014036,0.0001825152456327
37993,3201,1e-10,0.2841508067688009,0.9999967824369516,0.0002408259109012
67997,3322,1e-10,0.2675337901579631,0.999997586915452,0.0001965671033538
74269,3784,1e-10,0.2690633159613367,0.999996681484943,0.0002132781276956
108732,3113,1e-10,0.2441132342670183,0.9999983248784016,0.0001759022089199
39984,3113,1e-10,0.2697538655276378,0.9999975325269296,0.0001848297702491
19105,2585,1e-10,0.2555093056861901,0.999997962809818,0.0002486575511509
8002,2673,1e-10,0.24248268157194,0.999998346792893,0.0001728338239325
57290,3146,1e-10,0.2690451405095587,0.9999982263909964,0.000201739372632
123138,2803,1e-10,0.2544295352384057,0.9999982586063376,0.0002939601250118
112803,3850,1e-10,0.276438636307785,0.9999980935785426,0.0001591048426322
72807,3168,1e-10,0.2830372540193541,0.99999652883616,0.0002064339814719
39833,3058,1e-10,0.2599515219729154,0.999997819581734,0.0002248343486621
119405,2585,1e-10,0.238403644042177,0.999998041715058,0.0002706349286229
34592,3146,1e-10,0.2778872488278486,0.9999972646020616,0.0002461914964038
92182,3707,1e-10,0.2629774987649539,0.9999981989313036,0.0001929931208023
117210,3113,1e-10,0.2723646710967252,0.9999978689995008,0.0001922051067814
69370,3146,1e-10,0.2595551316780961,0.9999977459787832,0.000240667640691
41536,3234,1e-10,0.2369455119812329,0.999998258523658,0.0002061102508446
80538,3410,1e-10,0.2767776838021506,0.9999977443439912,0.000229811987361
105153,3498,1e-10,0.2726459663093675,0.999997850106617,0.0001929014740573
40953,2882,1e-10,0.2910132767140639,0.9999971112925558,0.0002239448856028
122937,2803,1e-10,0.2609694970566328,0.9999979912462696,0.0003718062483669
62568,3025,1e-10,0.2751337454151968,0.9999974333939377,0.0001809217392153
105909,3201,1e-10,0.2778000457616264,0.999997483208948,0.0001830192032909
30054,3080,1e-10,0.2502291816574101,0.9999977256084568,0.000178124407503
90116,2937,1e-10,0.2328474166842176,0.9999986356828592,0.0001136367365154
18516,3113,1e-10,0.2899719791219516,0.9999971091478006,0.0002245182985901
